name,email,birthday
Aarav Sharma,aarav.sharma@example.com,1998-01-15
Diya Patel,diya.patel@example.com,1997-02-22
Rohan Mehta,rohan.mehta@example.com,1999-03-10
Sneha Iyer,sneha.iyer@example.com,2000-04-05
Arjun Reddy,arjun.reddy@example.com,1998-05-18
Priya Nair,priya.nair@example.com,1997-06-25
Karan Malhotra,karan.malhotra@example.com,1999-07-12
Neha Gupta,neha.gupta@example.com,2001-08-30
Rahul Verma,rahul.verma@example.com,1998-09-14
Ananya Singh,ananya.singh@example.com,2000-10-03
Vikram Joshi,vikram.joshi@example.com,1997-11-19
Meera Kulkarni,meera.kulkarni@example.com,1999-12-27
